month,month_label,days,ac_hours_per_day,total_ac_hours,units_conservative (1 in 5),kwh_conservative (1 in 5),cost_mru_conservative (1 in 5),units_stated (1 in 3),kwh_stated (1 in 3),cost_mru_stated (1 in 3),units_upper (1 in 2),kwh_upper (1 in 2),cost_mru_upper (1 in 2)
1,Jan,31,3,93,18859,3288538.0,19412241.0,31432,5480955.0,32354077.0,47148,8221432.0,48531116.0
2,Fév,28,4,112,18859,3960390.0,23378182.0,31432,6600720.0,38964050.0,47148,9901080.0,58446075.0
3,Mar,31,5,155,18859,5480897.0,32353734.0,31432,9134925.0,53923462.0,47148,13702388.0,80885193.0
4,Avr,30,7,210,18859,7425731.0,43834092.0,31432,12376350.0,73057594.0,47148,18564525.0,109586391.0
5,Mai,31,8,248,18859,8769435.0,51765975.0,31432,14615880.0,86277540.0,47148,21923820.0,129416309.0
6,Jui,30,9,270,18859,9547369.0,56358118.0,31432,15912450.0,93931192.0,47148,23868675.0,140896789.0
7,Jul,31,8,248,18859,8769435.0,51765975.0,31432,14615880.0,86277540.0,47148,21923820.0,129416309.0
8,Aoû,31,9,279,18859,9865614.0,58236722.0,31432,16442865.0,97062232.0,47148,24664298.0,145593348.0
9,Sep,30,10,300,18859,10608188.0,62620131.0,31432,17680500.0,104367992.0,47148,26520750.0,156551987.0
10,Oct,31,10,310,18859,10961794.0,64707469.0,31432,18269850.0,107846925.0,47148,27404775.0,161770387.0
11,Nov,30,6,180,18859,6364912.0,37572078.0,31432,10608300.0,62620795.0,47148,15912450.0,93931192.0
12,Déc,31,3,93,18859,3288538.0,19412241.0,31432,5480955.0,32354077.0,47148,8221432.0,48531116.0
